occupation,total
Storyteller,100
Educationist,232
Philanthropists,34
Singers,315
Sound recording executives and producers,57
Television actors and actresses,4
Ceramist,421
Painter,5229
None,17249
Actor,74781
Singer,8116
Illusionist,64
Comedian,1812
Assistant Director,1283
Performer,15202
Playwright,6226
Improviser,51
Director,9955
Writer,5164
Devisor,1978
Creator,1303
Farmers,73
Shopkeepers,8
Postmasters,1
DNA,7
Single Nucleotide Polymorphism,1
Strand Displacement,1
Toehold-mediated Strand Displacement,1
Printmaker,1198
Geologist,242
Nurse,380
Nurse Educator,19
Dancer,11411
Shipwright,4
Engineer,446
Blacksmith,20
Olympian,280
Hockey Player,63
Costume Designer,2759
Violinist,1085
Teachers,389
Church historians,207
Clergy,1728
Associate Director,234
Illustrator,396
Artist,1133
Cartoonist,155
Cartoonist / Illustrator,1427
Magistrate,90
Musician,5686
Composer,5639
Lighting Operator,1060
Technician,904
Sound Designer,1877
Sound Operator/Engineer,1056
Patron,45
Seabird Ecology,1
Toxicology,14
Science Communication,5
Scientist,118
Human Impacts,1
Plastic Ingestion,1
Marine Biology,26
Researcher,255
Educator,348
Baptist minister,8
Conductor,1406
Diplomat,132
Entomologist,173
Naturalist,212
Icthyologist,5
Explorer,225
Draughtsman,1841
Surveyor,225
Casting Director,40
Motion picture producers and directors,105
Choreographer,3621
Fire Ecology,7
Fire Weather,1
Climate Change,97
Fire Climate,1
Wildland Fire,1
Forest Fires,1
Fire Behaviour,1
Neurology,13
Biostatistics,27
Neuroepidemiology,2
Multiple Sclerosis,9
Civil Servant,68
Army Officer,334
Businesspeople,15
Composers,1351
Assistant Musical Director,120
"Poets, Greek",1
Newspaper Proprietor,88
Set Designer,2583
Author,3195
Comic Artist,38
Lighting Designer,2877
Ensemble,256
Musical Director,2178
Theologians,1055
College teachers,1453
Stage Manager,4023
Scenic Artist,649
Costume Maker,858
Consultant,314
Psychotherapists,18
Authors,2334
Physicist,283
Nuclear Physicist,6
Senator,719
Senator for Western Australia,110
Current Member of the Australian Federal Parliament,228
Political Candidate,1258
Radio Presenter,5
Television Presenter,9
Vocalist,641
Soprano,618
Electrical Engineer,41
Graphic Designer,516
Visual Artist,757
Alderman,1072
Bookseller,68
Politician,3055
Designer,3257
Production Designer,163
Set and/or Property Maker,1780
Professors,386
Linguists,84
