source_group,number_of_sources,total
AuCNLKIN,1,941859
AU-SAUS,1,167827
AU-ANU:ADBO|AuCNLKIN,2,2144
AU-AIAS|AuCNLKIN,2,36574
AU-NUN:DAAO,1,12932
AU-AIAS,1,10739
AU-QPRO,1,57143
AU-VU,1,2030
AU-YORCID,1,23145
AU-SAUS|AuCNLKIN,2,4018
AU-VU:AWR,1,4553
AU-ANU:ADBO,1,6518
AU-QGU,1,1505
AU-VU:EOAS,1,3776
AU-NUN:DAAO|AuCNLKIN,2,2635
AU-QJCU,1,314
AU-NAMO,1,1939
AU-YORCID|AuCNLKIN,2,1299
AU-ANU:ADBO|AU-VU:EOAS|AuCNLKIN,3,649
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU:EOAS|AuCNLKIN,4,94
AU-NMUS:CAN,1,1388
AU-ANU:ADBO|AU-ANU:OA|AU-VU|AU-VU:EOAS|AuCNLKIN,5,10
AU-APAR|AuCNLKIN,2,375
AU-NAMC,1,193
AU-ANU:OA,1,6193
AU-ANU:ADBO|AU-NSAL|AuCNLKIN,3,17
AU-AIAS|AU-ANU:ADBO|AuCNLKIN,3,151
AU-VPRO,1,2167
AU-ANU:ADBO|AU-SAUS|AuCNLKIN,3,164
AU-ANU:ADBO|AU-ANU:OA|AuCNLKIN,3,256
AU-NMUS:CAN|AuCNLKIN,2,249
AU-ANL:AD,1,113
AU-APC:WB,1,747
AU-VPRO|AU-VU|AuCNLKIN,3,7
AU-NSAL,1,932
AU-ANU:ADBO|AU-VU|AuCNLKIN,3,73
AU-NNCU|AU-YORCID,2,6
AU-VSWT,1,73
AU-APAR,1,819
AU-VU|AU-VU:EOAS|AuCNLKIN,3,82
AU-VU:EOAS|AuCNLKIN,2,1977
AU-QUT|AU-YORCID,2,25
AU-VU:AWR|AuCNLKIN,2,852
AU-AIAS|AU-SAUS|AuCNLKIN,3,377
AU-VDU,1,149
AU-AIAS|AU-VU:AWR,2,9
AU-ANL:MA|AuCNLKIN,2,64
AU-VU|AuCNLKIN,2,443
AU-NUN:DAAO|AU-SAUS|AuCNLKIN,3,96
AU-ANU:ADBO|AU-SAUS|AU-VU:AWR,3,6
AU-WS:AUS,1,111
AU-ANU:ADBO|AU-NUN:DAAO,2,175
AU-ANU:ADBO|AU-NUN:DAAO|AuCNLKIN,3,317
AU-ANU:ADBO|AU-ANU:OA|AU-VU:EOAS,3,51
AU-QJCU|AU-YORCID,2,104
AU-ANL:MA,1,79
AU-ANL:MA-DM,1,231
AU-NAMC|AuCNLKIN,2,276
AU-AIAS|AU-APAR|AU-VU:AWR|AuCNLKIN,4,2
AU-AIAS|AU-ANL:MA|AuCNLKIN,3,5
AU-ANU:OA|AuCNLKIN,2,440
AU-ANU:ADBO|AU-ANU:OA,2,522
AU-NUWS,1,117
AU-ANU:ADBO|AU-APAR|AuCNLKIN,3,56
AU-AIAS|AU-QPRO|AuCNLKIN,3,8
AU-AIAS|AU-ANU:ADBO,2,7
AU-ANU:OA|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,4,2
AU-NTSM|AuCNLKIN,2,22
AU-VANDS|AuCNLKIN,2,73
AU-NUN:DAAO|AU-VU:AWR,2,34
AU-ANU:OA|AU-VU:EOAS|AuCNLKIN,3,73
AU-ANU:ADBO|AU-VU,2,33
AU-NAMC|AU-SAUS|AuCNLKIN,3,51
AU-ANU:ADBO|AU-VU:EOAS,2,727
AU-AMG,1,235
AU-NU|AuCNLKIN,2,5
AU-QGU|AU-YORCID|AuCNLKIN,3,14
AU-QU|AU-YORCID|AuCNLKIN,3,5
AU-ANU:ADBO|AU-APAR,2,70
AU-VPRO|AuCNLKIN,2,483
AU-ANU:OA|AU-APAR|AU-APAR:S|AuCNLKIN,4,2
AU-ANL:MA-DM|AU-NAMO,2,108
AU-ANU:OA|AU-VU:AWR|AuCNLKIN,3,22
AU-APAR|AU-VU:AWR,2,92
AU-ANL:AD|AU-ANL:MA|AU-NAMC|AU-SAUS|AuCNLKIN,5,2
AU-AIAS|AU-ANU:OA|AU-VU:EOAS|AuCNLKIN,4,1
AU-ANU:OA|AU-SAUS|AuCNLKIN,3,23
AU-VASD,1,46
AU-APAR|AU-APAR:S,2,92
AU-VU:AWR|AU-VU:EOAS,2,50
AU-ANL:AD|AuCNLKIN,2,63
AU-VLU,1,39
AU-NMUS:CAN|AU-VU:AWR|AuCNLKIN,3,1
AU-ANU:ADBO|AU-ANU:OA|AU-SAUS|AuCNLKIN,4,25
AU-NUN:DAAO|AU-VU:EOAS,2,16
