agency_id,agency_name,total
AuCNLKIN,Libraries Australia,995720
AU-ANL:PEAU,National Library of Australia Party Infrastructure,1303464
AU-SAUS,AusStage,170286
AU-ANU:ADBO,Australian Dictionary of Biography,13382
AU-AIAS,AIATSIS Aboriginal Biographical Index,48341
AU-NUN:DAAO,Design & Art Australia Online,16982
AU-QPRO,The Prosecution Project,57243
AU-VU,University of Melbourne,2964
AU-YORCID,ORCID,25010
AU-VU:AWR,The Australian Women's Register,6698
AU-QGU,Griffith University,1602
AU-VU:EOAS,Encyclopedia of Australian Science,8250
AU-QJCU,"James Cook University, Australia",457
AU-NAMO,Australian Music Online,2170
AU-NMUS:CAN,Collections Australia Network,1692
AU-ANU:OA,Obituaries Australia,7987
AU-APAR,Australian Parliamentary Library,1778
AU-NAMC,Australian Music Centre,591
AU-NSAL,Sydney's Aldermen,1034
AU-VPRO,Public Records Office Victoria,2728
AU-ANL:AD,Australia Dancing,325
AU-APC:WB,Australian Paralympic Committee,786
AU-NNCU,University of Newcastle,37
AU-VSWT,Swinburne University of Technology,90
AU-QUT,Queensland University of Technology,191
AU-VDU,"Deakin University, Australia",193
AU-ANL:MA,Music Australia,255
AU-WS:AUS,AuScope,127
AU-ANL:MA-DM,destra Media,410
AU-NUWS,University of Western Sydney,172
AU-NTSM,"University of Technology, Sydney",128
AU-VANDS,Australian Research Institutions,199
AU-AMG,GeoScience Australia,260
AU-NU,"The University of Sydney, Australia",40
AU-QU,The University of Queensland,117
AU-APAR:S,Department of the Senate,328
AU-VASD,Australian Sound Design,94
AU-VLU,La Trobe University,49
AU-TU,"University of Tasmania, Australia",76
AU-SFU:PDM,Flinders University,116
AU-QUT:GP,Queensland University of Technology,55
AU-NWU,University of Wollongong,114
AU-SUSA,University of South Australia,94
AU-SUA,The University of Adelaide,35
AU-NMQU,"Macquarie University, Australia",18
AU-NUNE,The University of New England,2
OCLC-VIAF,AIATSIS Aboriginal Biographical Index,21
AU-WU,The University of Western Australia,39
AU-ANU,Australian National University,9
OCLC-NLA,NLA,14
OCLC-LC,LC,13
AU-ANL:PO,National Library of Australia People and Organisations,5
AU-VAFI,RMIT University,8
OCLC-BNF,BNF,8
OCLC-PTBNP,PTBNP,2
OCLC-NKC,NKC,4
OCLC-NUKAT,NUKAT,3
OCLC-DNB,DNB,8
OCLC-BNE,BNE,5
OCLC-JPG,JPG,3
OCLC-NLIlat,NLIlat,2
OCLC-BAV,BAV,1
OCLC-LAC,LAC,2
OCLC-RERO,RERO,2
OCLC-EGAXA,EGAXA,2
OCLC-SELIBR,SELIBR,1
OCLC-SUDOC,SUDOC,1
TO-DO,"The University of Examples, Australia",2
OCLC-VIAF:TEST,VIAF: The Virtual International Authority File,3
OCLC-NLIara,NLIara,1
